player;nationality;position;squad;age;birth_year;value;height;position2;foot;league;games;games_starts;minutes;goals;assists;pens_made;pens_att;goals_per90;assists_per90;goals_assists_per90;goals_pens_per90;goals_assists_pens_per90;shots_total;shots_on_target;shots_free_kicks;shots_on_target_pct;shots_total_per90;shots_on_target_per90;goals_per_shot;goals_per_shot_on_target;passes;passes_pct;passes_total_distance;passes_progressive_distance;blocks;blocked_shots;blocked_shots_saves;blocked_passes;interceptions;touches;dribbles_completed;dribbles;dribbles_completed_pct;LigaRk;CL;WinCL;Season
Wesley Moraes;BRA;FW;Aston Villa;22;1996;$ 20.000.000,00;191;Forward - Centre-Forward;right;Premier League;21;21;1782;5;1;0;1;0,25;0,05;0,3;0,25;0,3;35;17;0;48,6;1,77;0,86;0,14;0,29;377;73,5;4417;613;18;6;0;12;5;599;14;22;63,6;17;0;0;201920#
Marvelous Nakamba;ZIM;MF;Aston Villa;25;1994;$ 8.000.000,00;177;Midfielder - Defensive Midfield;left;Premier League;29;19;1836;0;0;0;0;0;0;0;0;0;7;1;0;14,3;0,34;0,05;0;0;792;84,5;12496;2647;61;11;0;50;28;1013;14;20;70;17;0;0;201920#
Mbwana Samatta;TAN;FW;Aston Villa;26;1992;$ 9.000.000,00;183;Forward - Centre-Forward;right;Premier League;14;11;943;1;0;0;0;0,1;0;0,1;0,1;0,1;17;3;0;17,6;1,62;0,29;0,06;0,33;179;70,9;1883;283;8;1;0;7;0;277;9;15;60;17;0;0;201920#
Matt Targett;ENG;DF;Aston Villa;23;1995;$ 10.000.000,00;183;Defender - Left-Back;left;Premier League;28;27;2291;1;2;0;0;0,04;0,08;0,12;0,04;0,12;7;4;1;57,1;0,27;0,16;0,14;0,25;1219;73,3;16474;7327;68;9;0;59;21;1501;10;23;43,5;17;0;0;201920#
Neil Taylor;WAL;DF;Aston Villa;30;1989;$ 2.000.000,00;176;Defender - Left-Back;left;Premier League;14;11;1091;0;0;0;0;0;0;0;0;0;3;0;0;0;0,25;0;0;0;513;79,9;6858;2881;38;5;0;33;11;631;2;3;66,7;17;0;0;201920#
TrÈzÈguet;EGY;FW,MF;Aston Villa;24;1994;$ 8.000.000,00;179;Forward - Left Winger;right;Premier League;34;20;1950;6;1;0;0;0,28;0,05;0,32;0,28;0,32;50;17;3;34;2,31;0,78;0,12;0,35;445;66,3;4745;1287;41;2;0;39;17;775;40;75;53,3;17;0;0;201920#
Indiana Vassilev;USA;FW,MF;Aston Villa;18;2001;$ 25.000,00;175;Forward - Left Winger;left;Premier League;4;0;51;0;0;0;0;0;0;0;0;0;1;0;0;0;1,76;0;0;0;11;72,7;80;4;0;0;0;0;0;16;1;2;50;17;0;0;201920#
Guilherme Arana;BRA;DF;Atalanta;22;1997;$ 2.000.000,00;176;Defender - Left-Back;left;Serie A;4;0;80;0;0;0;0;0;0;0;0;0;1;0;0;0;1,13;0;0;0;54;77,8;796;273;2;0;0;2;1;68;0;2;0;3;1;0;201920#
Musa Barrow;GAM;FW,MF;Atalanta;20;1998;$ 11.000.000,00;184;Forward - Centre-Forward;right;Serie A;7;1;190;0;2;0;1;0;0,95;0,95;0;0,95;10;4;0;40;4,74;1,89;0;0;52;82,7;717;154;3;0;0;3;0;93;5;6;83,3;3;1;0;201920#
Raoul Bellanova;ITA;DF;Atalanta;19;2000;$ 90.000,00;188;Defender - Right-Back;right;Serie A;1;0;18;0;0;0;0;0;0;0;0;0;2;0;0;0;10;0;0;0;13;92,3;183;15;0;0;0;0;0;15;0;0;0;3;1;0;201920#
