player;nationality;position;squad;age;birth_year;value;height;position2;foot;league;games;games_starts;minutes;goals;assists;pens_made;pens_att;goals_per90;assists_per90;goals_assists_per90;goals_pens_per90;goals_assists_pens_per90;shots_total;shots_on_target;shots_free_kicks;shots_on_target_pct;shots_total_per90;shots_on_target_per90;goals_per_shot;goals_per_shot_on_target;passes;passes_pct;passes_total_distance;passes_progressive_distance;blocks;blocked_shots;blocked_shots_saves;blocked_passes;interceptions;touches;dribbles_completed;dribbles;dribbles_completed_pct;LigaRk;CL;WinCL;Season
Jonas Hofmann;GER;MF,FW;M'Gladbach;27;1992;$ 7.000.000,00;176;Forward - Right Winger;right;Bundesliga;24;18;1633;5;3;0;0;0,28;0,17;0,44;0,28;0,44;23;10;2;43,5;1,27;0,55;0,22;0,5;882;79,6;14247;3954;36;3;0;33;13;1065;18;36;50;4;1;0;201920#
Tony Jantschke;GER;DF;M'Gladbach;29;1990;$ 2.000.000,00;177;Defender - Centre-Back;right;Bundesliga;17;11;1012;0;0;0;0;0;0;0;0;0;4;0;0;0;0,36;0;0;0;646;83,3;11907;4543;31;15;0;16;19;802;1;1;100;4;1;0;201920#
Fabian Johnson;USA;MF,DF;M'Gladbach;31;1987;$ 1.000.000,00;183;Forward - Left Winger;right;Bundesliga;6;3;271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;76,7;1416;514;5;0;0;5;0;136;1;3;33,3;4;1;0;201920#
Christoph Kramer;GER;MF;M'Gladbach;28;1991;$ 7.000.000,00;191;Midfielder - Defensive Midfield;right;Bundesliga;22;17;1464;0;0;0;0;0;0;0;0;0;10;0;0;0;0,61;0;0;0;935;85,1;13898;3533;28;3;0;25;11;1098;17;20;85;4;1;0;201920#
Stefan Lainer;AUT;DF;M'Gladbach;26;1992;$ 14.000.000,00;175;Defender - Right-Back;right;Bundesliga;31;31;2710;1;3;0;0;0,03;0,1;0,13;0,03;0,13;16;5;0;31,3;0,53;0,17;0,06;0,2;1564;70,7;21647;9830;62;7;0;55;23;1894;43;76;56,6;4;1;0;201920#
Torben Musel;GER;FW;M'Gladbach;20;1999;$ 32.500,00;185;Midfielder - Attacking Midfield;right;Bundesliga;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4;1;0;201920#
Florian Neuhaus;GER;MF;M'Gladbach;22;1997;$ 17.000.000,00;183;Midfielder - Central Midfield;right;Bundesliga;30;26;2356;4;2;0;0;0,15;0,08;0,23;0,15;0,23;58;22;3;37,9;2,22;0,84;0,07;0,18;1275;82,5;19515;5637;42;5;0;37;21;1553;48;65;73,8;4;1;0;201920#
Alassane Plea;FRA;FW;M'Gladbach;26;1993;$ 35.000.000,00;181;Forward - Centre-Forward;right;Bundesliga;27;25;2143;10;10;0;1;0,42;0,42;0,84;0,42;0,84;77;35;2;45,5;3,23;1,47;0,13;0,29;718;72,3;8237;2098;26;5;0;21;7;1031;48;77;62,3;4;1;0;201920#
Raffael;BRA;MF;M'Gladbach;34;1985;$ 700,00;174;Forward - Second Striker;right;Bundesliga;8;0;64;0;0;0;0;0;0;0;0;0;8;3;2;37,5;11,25;4,22;0;0;48;77,1;525;165;2;0;0;2;0;65;4;4;100;4;1;0;201920#
Lars Stindl;GER;MF,FW;M'Gladbach;30;1988;$ 6.000.000,00;181;Forward - Second Striker;right;Bundesliga;25;14;1432;9;3;2;2;0,57;0,19;0,75;0,44;0,63;32;13;3;40,6;2,01;0,82;0,22;0,54;762;80,8;10533;1770;25;4;0;21;8;948;14;26;53,8;4;1;0;201920#
Tobias Strobl;GER;MF,DF;M'Gladbach;29;1990;$ 3.000.000,00;188;Midfielder - Defensive Midfield;right;Bundesliga;10;6;615;0;0;0;0;0;0;0;0;0;1;0;0;0;0,15;0;0;0;394;88,1;7051;2330;10;4;0;6;8;448;5;5;100;4;1;0;201920#
Marcus Thuram;FRA;FW;M'Gladbach;21;1997;$ 22.000.000,00;192;Forward - Left Winger;right;Bundesliga;31;28;2202;10;8;0;0;0,41;0,33;0,74;0,41;0,74;59;39;0;66,1;2,41;1,59;0,17;0,26;691;68,5;6322;1699;28;1;0;27;11;1075;69;114;60,5;4;1;0;201920#
Ibrahima TraorÈ;GUI;FW;M'Gladbach;31;1988;$ 80.000,00;171;Forward - Right Winger;left;Bundesliga;7;1;152;0;1;0;0;0;0,59;0,59;0;0,59;4;0;2;0;2,37;0;0;0;60;75;786;265;1;0;0;1;1;92;5;11;45,5;4;1;0;201920#
Oscar Wendt;SWE;DF;M'Gladbach;33;1985;$ 1.000.000,00;181;Defender - Left-Back;left;Bundesliga;25;18;1680;2;2;0;0;0,11;0,11;0,21;0,11;0,21;9;3;0;33,3;0,48;0,16;0,22;0,67;1063;75,5;14343;6772;61;6;0;55;11;1250;5;8;62,5;4;1;0;201920#
Denis Zakaria;SUI;MF;M'Gladbach;22;1996;$ 36.000.000,00;190;Midfielder - Defensive Midfield;right;Bundesliga;23;22;1947;2;2;0;0;0,09;0,09;0,18;0,09;0,18;23;5;0;21,7;1,06;0,23;0,09;0,4;908;86,7;14796;3781;45;13;0;32;25;1162;47;63;74,6;4;1;0;201920#
IsmaÈl Bennacer;ALG;MF;Milan;21;1997;$ 17.000.000,00;175;Midfielder - Defensive Midfield;left;Serie A;31;28;2485;1;0;0;0;0,04;0;0,04;0,04;0,04;15;1;1;6,7;0,54;0,04;0,07;1;1808;87,6;29365;8851;39;9;0;30;46;2083;66;82;80,5;6;0;0;201920#
Lucas Biglia;ARG;MF;Milan;33;1986;$ 2.000.000,00;178;Midfielder - Defensive Midfield;right;Serie A;14;8;685;0;1;0;0;0;0,13;0,13;0;0,13;6;1;1;16,7;0,79;0,13;0;0;438;90,9;7458;2329;14;5;0;9;6;508;6;8;75;6;0;0;201920#
Giacomo Bonaventura;ITA;MF,FW;Milan;29;1989;$ 9.000.000,00;180;Midfielder - Central Midfield;right;Serie A;29;13;1338;3;5;0;0;0,2;0,34;0,54;0,2;0,54;44;14;0;31,8;2,96;0,94;0,07;0,21;700;84,1;9071;1831;15;4;1;11;5;887;27;38;71,1;6;0;0;201920#
Fabio Borini;ITA;MF,FW;Milan;28;1991;$ 4.000.000,00;180;Forward - Left Winger;right;Serie A;2;1;70;0;0;0;0;0;0;0;0;0;2;0;0;0;2,57;0;0;0;22;77,3;388;45;3;0;0;3;0;35;1;1;100;6;0;0;201920#
Marco Brescianini;ITA;MF;Milan;19;2000;$ 10.000,00;188;Midfielder - Central Midfield;left;Serie A;1;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;100;414;65;0;0;0;0;1;25;0;0;0;6;0;0;201920#
Davide Calabria;ITA;DF;Milan;22;1996;$ 9.000.000,00;176;Defender - Right-Back;right;Serie A;25;16;1622;1;1;0;0;0,06;0,06;0,11;0,06;0,11;13;2;0;15,4;0,72;0,11;0,08;0,5;1169;80,8;18603;7475;42;5;2;37;15;1376;11;24;45,8;6;0;0;201920#
Hakan ?áalhanoƒ?lu;TUR;MF,FW;Milan;25;1994;$ 30.000.000,00;178;Midfielder - Attacking Midfield;right;Serie A;35;34;2704;9;9;1;1;0,3;0,3;0,6;0,27;0,57;102;32;12;31,4;3,39;1,07;0,08;0,25;1649;78,2;23554;6119;33;3;0;30;28;1997;39;60;65;6;0;0;201920#
Samu Castillejo;ESP;FW,MF;Milan;24;1995;$ 11.000.000,00;182;Forward - Right Winger;left;Serie A;22;16;1209;2;3;0;0;0,15;0,22;0,37;0,15;0,37;31;8;0;25,8;2,31;0,6;0,06;0,25;560;75,4;6955;2006;37;2;0;35;18;755;24;45;53,3;6;0;0;201920#
Andrea Conti;ITA;DF;Milan;25;1994;$ 12.000.000,00;184;Defender - Right-Back;right;Serie A;23;21;1725;0;2;0;0;0;0,1;0,1;0;0,1;1;0;0;0;0,05;0;0;0;1060;83,8;15360;6156;36;7;0;29;27;1236;9;11;81,8;6;0;0;201920#
LÈo Duarte;BRA;DF;Milan;23;1996;$ 6.000.000,00;183;Defender - Centre-Back;right;Serie A;6;4;405;0;0;0;0;0;0;0;0;0;3;0;0;0;0,67;0;0;0;195;88,2;3767;952;12;6;0;6;2;233;0;0;0;6;0;0;201920#
Matteo Gabbia;ITA;DF;Milan;19;1999;$ 2.000.000,00;185;Defender - Centre-Back;right;Serie A;9;6;680;0;0;0;0;0;0;0;0;0;4;2;0;50;0,53;0,26;0;0;433;89,1;8572;2644;10;5;0;5;3;504;0;0;0;6;0;0;201920#
Theo Hern·ndez;FRA;DF;Milan;21;1997;$ 32.000.000,00;184;Defender - Left-Back;left;Serie A;33;32;2817;6;3;0;0;0,19;0,1;0,29;0,19;0,29;49;17;0;34,7;1,57;0,54;0,12;0,35;2019;83,4;28698;9321;66;8;0;58;36;2402;59;94;62,8;6;0;0;201920#
Zlatan Ibrahimovic;SWE;FW;Milan;37;1981;$ 3.500.000,00;195;Forward - Centre-Forward;both;Serie A;18;16;1362;10;5;2;3;0,66;0,33;0,99;0,53;0,86;63;18;8;28,6;4,16;1,19;0,13;0,44;622;69,8;6752;1730;9;4;0;5;1;813;12;22;54,5;6;0;0;201920#
Franck KessiÈ;CIV;MF;Milan;22;1996;$ 20.000.000,00;183;Midfielder - Central Midfield;right;Serie A;35;33;2904;4;1;2;2;0,12;0,03;0,15;0,06;0,09;37;11;0;29,7;1,15;0,34;0,05;0,18;1718;89,1;28055;6545;54;6;0;48;18;2030;31;44;70,5;6;0;0;201920#
Simon Kj?¶r;DEN;DF;Milan;30;1989;$ 7.000.000,00;191;Defender - Centre-Back;right;Serie A;15;15;1240;0;0;0;0;0;0;0;0;0;6;1;0;16,7;0,44;0,07;0;0;682;89,1;13472;4769;28;18;0;10;11;823;0;0;0;6;0;0;201920#
Rade Krunic;BIH;MF;Milan;25;1993;$ 6.500.000,00;184;Midfielder - Central Midfield;right;Serie A;15;4;537;0;1;0;0;0;0,17;0,17;0;0,17;6;2;0;33,3;1,01;0,34;0;0;236;83,5;3117;940;7;0;0;7;5;307;8;13;61,5;6;0;0;201920#
Diego Laxalt;URU;DF;Milan;26;1993;$ 5.000.000,00;178;Defender - Left-Back;left;Serie A;4;1;172;0;0;0;0;0;0;0;0;0;1;1;0;100;0,52;0,52;0;0;119;79,8;1799;627;4;0;0;4;0;134;1;2;50;6;0;0;201920#
Rafael Leao;POR;FW;Milan;20;1999;$ 20.000.000,00;188;Forward - Centre-Forward;right;Serie A;31;12;1404;6;1;0;0;0,38;0,06;0,45;0,38;0,45;45;15;0;33,3;2,88;0,96;0,13;0,4;476;76,1;5996;1225;11;1;0;10;1;652;41;63;65,1;6;0;0;201920#
Daniel Maldini;ITA;FW;Milan;17;2001;$ 30.000,00;186;Midfielder - Attacking Midfield;right;Serie A;2;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;81,3;176;19;1;0;0;1;0;21;0;1;0;6;0;0;201920#
Mateo Musacchio;ARG;DF;Milan;28;1990;$ 9.000.000,00;182;Defender - Centre-Back;right;Serie A;18;17;1466;0;0;0;0;0;0;0;0;0;5;0;0;0;0,31;0;0;0;996;89,9;19514;5279;18;8;0;10;22;1119;3;4;75;6;0;0;201920#
Lucas Paquet·;BRA;MF,FW;Milan;21;1997;$ 22.000.000,00;180;Midfielder - Attacking Midfield;left;Serie A;24;12;1103;0;1;0;0;0;0,08;0,08;0;0,08;34;13;0;38,2;2,77;1,06;0;0;578;78,7;8025;2322;21;3;0;18;7;790;27;45;60;6;0;0;201920#
Krzysztof Piatek;POL;FW;Milan;24;1995;$ 21.500.000,00;183;Forward - Centre-Forward;right;Serie A;18;14;1183;4;0;3;3;0,3;0;0,3;0,08;0,08;45;12;0;26,7;3,42;0,91;0,02;0,08;239;75,7;2630;373;11;3;0;8;3;402;15;20;75;6;0;0;201920#
Ante Rebic;CRO;FW;Milan;25;1993;$ 32.000.000,00;185;Forward - Left Winger;right;Serie A;26;15;1395;11;3;0;0;0,71;0,19;0,9;0,71;0,9;2;1;1;50;2;1;0;0;18;50;114;18;0;0;0;0;0;649;33;56;58,9;6;0;0;201920#
Ricardo RodrÌguez;SUI;DF;Milan;26;1992;$ 5.000.000,00;180;Defender - Left-Back;left;Serie A;5;5;386;0;0;0;0;0;0;0;0;0;1;0;0;0;0,23;0;0;0;285;84,9;5273;1468;10;4;0;6;5;324;0;2;0;6;0;0;201920#
Alessio Romagnoli;ITA;DF;Milan;24;1995;$ 36.000.000,00;188;Defender - Centre-Back;left;Serie A;35;35;3091;1;0;0;0;0,03;0;0,03;0,03;0,03;14;3;0;21,4;0,41;0,09;0,07;0,33;1964;92;37991;12319;54;18;0;36;39;2284;4;6;66,7;6;0;0;201920#
Alexis Saelemaekers;BEL;FW,MF;Milan;20;1999;$ 6.000.000,00;180;Forward - Right Winger;right;Serie A;13;6;684;1;0;0;0;0,13;0;0,13;0,13;0,13;9;2;0;22,2;1,18;0,26;0,11;0,5;340;82,1;4147;952;12;0;0;12;9;419;5;10;50;6;0;0;201920#
AndrÈ Silva;POR;FW;Milan;23;1995;$ 16.000.000,00;184;Forward - Centre-Forward;right;Serie A;1;1;60;0;0;0;0;0;0;0;0;0;54;22;0;40,7;3,09;1,26;0,2;0,5;483;70,4;5018;979;17;0;0;17;1;23;1;3;33,3;6;0;0;201920#
Suso;ESP;FW,MF;Milan;25;1993;$ 20.000.000,00;177;Forward - Right Winger;left;Serie A;16;15;1359;1;2;0;0;0,07;0,13;0,2;0,07;0,2;31;12;2;38,7;2,05;0,79;0,03;0,08;753;76,9;11104;3203;11;0;0;11;6;898;33;52;63,5;6;0;0;201920#
Ruben Aguilar;FRA;DF;Monaco;26;1993;$ 6.000.000,00;172;Defender - Right-Back;right;Ligue 1;19;11;1072;0;2;0;0;0;0,17;0,17;0;0,17;7;3;0;42,9;0,59;0,25;0;0;791;84,2;11011;4090;11;2;0;9;11;926;15;26;57,7;9;0;0;201920#
Jean-KÈvin Augustin;FRA;FW;Monaco;22;1997;$ 9.000.000,00;180;Forward - Centre-Forward;right;Ligue 1;10;2;266;0;0;0;0;0;0;0;0;0;7;3;0;42,9;2,37;1,02;0;0;40;82,5;490;47;2;0;0;2;4;80;8;12;66,7;9;0;0;201920#
TiemouÈ Bakayoko;FRA;MF;Monaco;24;1994;$ 25.000.000,00;189;Midfielder - Defensive Midfield;right;Ligue 1;20;20;1719;1;2;0;0;0,05;0,1;0,16;0,05;0,16;24;8;0;33,3;1,26;0,42;0,04;0,13;961;86,5;14795;3853;25;6;0;19;28;1233;31;56;55,4;9;0;0;201920#
Keita BaldÈ;SEN;FW,MF;Monaco;24;1995;$ 16.000.000,00;181;Forward - Left Winger;both;Ligue 1;21;9;858;4;1;0;0;0,42;0,1;0,52;0,42;0,52;28;13;0;46,4;2,94;1,36;0,14;0,31;295;70,2;3023;767;9;1;0;8;3;417;6;12;50;9;0;0;201920#
FodÈ Ballo-TourÈ;FRA;DF;Monaco;22;1997;$ 6.000.000,00;182;Defender - Left-Back;left;Ligue 1;21;18;1679;0;0;0;0;0;0;0;0;0;5;2;0;40;0,27;0,11;0;0;861;79,7;11942;4031;29;1;0;28;22;1067;30;50;60;9;0;0;201920#
Gil Bastiao Dias;POR;DF,MF;Monaco;22;1996;$ 3.200.000,00;186;Forward - Right Winger;left;Ligue 1;14;12;1057;0;0;0;0;0;0;0;0;0;16;5;0;31,3;1,36;0,43;0;0;639;80,9;8625;3222;25;2;0;23;15;813;28;43;65,1;9;0;0;201920#
Wissam Ben Yedder;FRA;FW;Monaco;28;1990;$ 40.000.000,00;170;Forward - Centre-Forward;right;Ligue 1;26;25;2164;18;4;3;3;0,75;0,17;0,91;0,62;0,79;63;34;7;54;2,62;1,41;0,24;0,44;812;75,5;8993;2573;19;0;0;19;6;1064;37;56;66,1;9;0;0;201920#
Gabriel Boschilia;BRA;MF,FW;Monaco;23;1996;$ 2.000.000,00;172;Midfielder - Attacking Midfield;left;Ligue 1;5;1;130;0;0;0;0;0;0;0;0;0;5;0;1;0;3,46;0;0;0;79;74,7;891;256;2;1;0;1;3;95;3;3;100;9;0;0;201920#
Cesc F·bregas;ESP;MF;Monaco;32;1987;$ 6.000.000,00;179;Midfielder - Central Midfield;right;Ligue 1;18;12;930;0;3;0;0;0;0,29;0,29;0;0,29;9;1;1;11,1;0,87;0,1;0;0;761;81,9;11812;4211;11;1;0;10;7;825;6;8;75;9;0;0;201920#
Youssouf Fofana;FRA;MF;Monaco;20;1999;$ 11.000.000,00;176;Midfielder - Central Midfield;right;Ligue 1;7;7;610;0;2;0;0;0;0,3;0,3;0;0,3;15;4;0;26,7;1,34;0,36;0,07;0,25;443;86;7117;1762;15;0;0;15;11;449;11;19;57,9;9;0;0;201920#
Lyle Foster;RSA;FW;Monaco;18;2000;$ 1.000.000,00;185;Forward - Centre-Forward;right;Ligue 1;2;1;62;0;0;0;0;0;0;0;0;0;2;0;0;0;2,9;0;0;0;14;78,6;141;13;0;0;0;0;0;24;1;2;50;9;0;0;201920#
Kamil Glik;POL;DF;Monaco;31;1988;$ 4.000.000,00;190;Defender - Centre-Back;right;Ligue 1;23;23;2070;1;0;0;0;0,04;0;0,04;0,04;0,04;12;4;0;33,3;0,52;0,17;0,08;0,25;1080;89,6;22294;5428;41;19;0;22;18;1352;0;0;0;9;0;0;201920#
Aleksandr Golovin;RUS;MF;Monaco;23;1996;$ 20.000.000,00;180;Midfielder - Attacking Midfield;right;Ligue 1;25;24;2061;3;4;0;0;0,13;0,17;0,31;0,13;0,31;38;14;1;36,8;1,66;0,61;0,08;0,21;1137;76,6;16127;4734;41;0;0;41;28;1410;54;76;71,1;9;0;0;201920#
Benjamin Henrichs;GER;DF,MF;Monaco;22;1997;$ 12.000.000,00;183;Defender - Right-Back;right;Ligue 1;13;10;890;0;0;0;0;0;0;0;0;0;10;1;0;10;1,01;0,1;0;0;527;80,6;7980;2793;31;3;0;28;16;647;8;19;42,1;9;0;0;201920#
Jemerson;BRA;DF,MF;Monaco;26;1992;$ 4.000.000,00;184;Defender - Centre-Back;right;Ligue 1;13;13;1056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;636;85,7;9874;3761;11;5;0;6;11;736;1;1;100;9;0;0;201920#
Stevan Jovetic;MNE;FW,MF;Monaco;29;1989;$ 6.500.000,00;183;Forward - Centre-Forward;right;Ligue 1;9;5;473;2;0;0;0;0,38;0;0,38;0,38;0,38;22;9;2;40,9;4,19;1,71;0,09;0,22;209;66;2333;714;5;1;0;4;1;278;15;24;62,5;9;0;0;201920#
Rony Lopes;POR;FW;Monaco;23;1995;$ 10.000.000,00;174;Forward - Right Winger;left;Ligue 1;1;1;80;0;0;0;0;0;0;0;0;0;2;0;0;0;2,25;0;0;0;26;92,3;301;46;0;0;0;0;0;34;1;1;100;9;0;0;201920#
Guillermo Marip·n;CHI;DF;Monaco;25;1994;$ 11.000.000,00;193;Defender - Centre-Back;right;Ligue 1;20;20;1753;2;0;0;0;0,1;0;0,1;0,1;0,1;10;4;0;40;0,51;0,21;0,2;0,5;1053;88,9;21921;6614;40;14;0;26;21;1262;3;6;50;9;0;0;201920#
Gelson Martins;POR;DF,FW;Monaco;24;1995;$ 20.000.000,00;173;Forward - Right Winger;right;Ligue 1;21;20;1674;4;1;0;0;0,22;0,05;0,27;0,22;0,27;28;11;0;39,3;1,51;0,59;0,14;0,36;784;79,6;9334;2716;17;2;0;15;24;1018;61;104;58,7;9;0;0;201920#
Beno?Æt Mukinayi;FRA;DF;Monaco;18;2001;$ 25.000.000,00;194;Defender - Centre-Back;left;Ligue 1;16;16;1411;0;0;0;0;0;0;0;0;0;10;3;0;30;0,64;0,19;0;0;928;87;17237;5764;26;11;1;15;19;1084;5;7;71,4;9;0;0;201920#
Henry Onyekuru;NGA;FW,MF;Monaco;22;1997;$ 8.000.000,00;175;Forward - Left Winger;right;Ligue 1;4;2;160;0;1;0;0;0;0,56;0,56;0;0,56;1;0;0;0;0,56;0;0;0;47;74,5;579;100;0;0;0;0;2;69;5;10;50;9;0;0;201920#
Jonathan Panzo;ENG;DF;Monaco;18;2000;$ 2.000.000,00;185;Defender - Centre-Back;left;Ligue 1;2;1;107;0;0;0;0;0;0;0;0;0;1;0;0;0;0,84;0;0;0;69;85,5;1292;350;5;1;0;4;3;88;0;0;0;9;0;0;201920#
Adrien Silva;POR;MF;Monaco;30;1989;$ 8.000.000,00;175;Midfielder - Central Midfield;right;Ligue 1;22;13;1221;0;2;0;0;0;0,15;0,15;0;0,15;14;3;4;21,4;1,03;0,22;0;0;835;86,1;13447;3887;26;8;0;18;12;989;17;31;54,8;9;0;0;201920#
Islam Slimani;ALG;FW;Monaco;31;1988;$ 6.000.000,00;188;Forward - Centre-Forward;right;Ligue 1;18;14;1285;9;7;1;1;0,63;0,49;1,12;0,56;1,05;48;19;0;39,6;3,36;1,33;0,17;0,42;543;70,9;6239;1885;7;1;0;6;2;737;12;27;44,4;9;0;0;201920#
Moussa Sylla;FRA;FW;Monaco;19;1999;$ 2.000.000,00;181;Forward - Centre-Forward;right;Ligue 1;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;100;19;0;0;0;0;0;0;4;0;0;0;9;0;0;201920#
AurÈlien TchouamÈni;FRA;MF;Monaco;19;2000;$ 15.000.000,00;185;Midfielder - Defensive Midfield;right;Ligue 1;3;0;65;0;0;0;0;0;0;0;0;0;2;1;0;50;2,77;1,38;0;0;24;87,5;335;83;0;0;0;0;0;33;1;3;33,3;9;0;0;201920#
Adama TraorÈ;MLI;MF;Monaco;24;1995;$ 25.000.000,00;178;Forward - Right Winger;right;Ligue 1;2;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;83,3;203;21;1;0;0;1;0;15;0;0;0;9;0;0;201920#
Bastian Badu;FRA;FW;Montpellier;19;2000;$ 35.000,00;188;Forward - Centre-Forward;left;Ligue 1;1;0;9;0;0;0;0;0;0;0;0;0;1;0;0;0;10;0;0;0;6;100;95;8;0;0;0;0;0;7;0;0;0;8;0;0;201920#
Bilal Boutobba;FRA;MF,DF;Montpellier;20;1998;$ 45.000,00;172;Forward - Right Winger;left;Ligue 1;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;50;63;35;0;0;0;0;0;6;1;1;100;8;0;0;201920#
Souleymane Camara;SEN;FW,MF;Montpellier;36;1982;$ 20.000,00;174;Forward - Right Winger;right;Ligue 1;13;0;163;0;0;0;0;0;0;0;0;0;3;2;0;66,7;1,66;1,1;0;0;43;76,7;508;170;0;0;0;0;0;62;2;2;100;8;0;0;201920#
Joris Chotard;FRA;MF;Montpellier;17;2001;$ 6.000.000,00;179;Midfielder - Defensive Midfield;right;Ligue 1;20;13;1251;0;0;0;0;0;0;0;0;0;11;2;0;18,2;0,79;0,14;0;0;556;77,2;9784;2651;16;5;0;11;16;692;11;21;52,4;8;0;0;201920#
Daniel CongrÈ;FRA;DF;Montpellier;34;1985;$ 40.000,00;185;Defender - Centre-Back;right;Ligue 1;24;23;1941;0;1;0;0;0;0,05;0,05;0;0,05;8;2;0;25;0,37;0,09;0;0;900;83,9;15249;6853;29;7;0;22;29;1106;4;7;57,1;8;0;0;201920#
Nicolas Cozza;FRA;DF;Montpellier;20;1999;$ 3.000.000,00;178;Defender - Centre-Back;left;Ligue 1;7;6;556;0;0;0;0;0;0;0;0;0;2;1;0;50;0,32;0,16;0;0;233;82,8;4063;1466;13;6;0;7;7;288;2;4;50;8;0;0;201920#
Andy Delort;ALG;FW;Montpellier;27;1991;$ 10.000.000,00;182;Forward - Centre-Forward;right;Ligue 1;26;26;2280;9;3;0;2;0,36;0,12;0,47;0,36;0,47;83;28;1;33,7;3,28;1,11;0,11;0,32;765;59;8284;1867;22;8;0;14;7;1117;28;74;37,8;8;0;0;201920#
Keagan Dolly;RSA;MF;Montpellier;26;1993;$ 95.000,00;170;Forward - Left Winger;left;Ligue 1;6;1;148;0;0;0;0;0;0;0;0;0;4;2;0;50;2,43;1,22;0;0;75;76;888;207;2;0;0;2;2;92;3;5;60;8;0;0;201920#
Jordan Ferri;FRA;MF;Montpellier;27;1992;$ 2.000.000,00;172;Midfielder - Central Midfield;right;Ligue 1;16;13;1150;0;0;0;0;0;0;0;0;0;11;4;0;36,4;0,86;0,31;0;0;740;81,5;11865;3325;13;0;0;13;11;882;22;33;66,7;8;0;0;201920#
Vitorino Hilton;BRA;DF;Montpellier;41;1977;$ 100,00;180;Defender - Centre-Back;right;Ligue 1;28;28;2510;0;2;0;0;0;0,07;0,07;0;0,07;12;0;0;0;0,43;0;0;0;1321;82,7;29670;10665;37;22;1;15;33;1667;5;7;71,4;8;0;0;201920#
Yun Il-lok;KOR;MF,FW;Montpellier;27;1992;$ 900,00;178;Forward - Left Winger;right;Ligue 1;5;1;121;0;0;0;0;0;0;0;0;0;1;0;0;0;0,74;0;0;0;54;75,9;617;137;0;0;0;0;0;67;4;7;57,1;8;0;0;201920#
GaÈtan Laborde;FRA;FW;Montpellier;25;1994;$ 8.000.000,00;181;Forward - Centre-Forward;left;Ligue 1;28;27;2237;6;5;0;0;0,24;0,2;0,44;0,24;0,44;63;21;0;33,3;2,53;0,84;0,1;0,29;657;66,4;6445;1478;26;2;0;24;9;1003;27;73;37;8;0;0;201920#
Damien Le Tallec;FRA;MF,DF;Montpellier;29;1990;$ 3.000.000,00;187;Midfielder - Defensive Midfield;right;Ligue 1;28;28;2458;2;0;0;0;0,07;0;0,07;0,07;0,07;16;7;0;43,8;0,59;0,26;0,13;0,29;989;80,6;15954;5188;51;17;0;34;27;1260;4;7;57,1;8;0;0;201920#
Pedro Mendes;POR;DF;Montpellier;28;1990;$ 4.000.000,00;186;Defender - Centre-Back;right;Ligue 1;16;16;1376;1;0;0;0;0,07;0;0,07;0,07;0,07;9;3;0;33,3;0,59;0,2;0,11;0,33;713;82,3;13608;5288;24;12;0;12;14;867;6;7;85,7;8;0;0;201920#
Florent Mollet;FRA;MF;Montpellier;27;1991;$ 7.000.000,00;175;Midfielder - Attacking Midfield;right;Ligue 1;25;19;1684;6;3;0;0;0,32;0,16;0,48;0,32;0,48;47;22;11;46,8;2,51;1,18;0,13;0,27;893;77,8;13440;3510;19;1;0;18;8;1068;15;33;45,5;8;0;0;201920#
Ambroise Oyongo;CMR;DF;Montpellier;28;1991;$ 2.000.000,00;176;Defender - Left-Back;left;Ligue 1;21;21;1821;0;0;0;0;0;0;0;0;0;10;1;0;10;0,49;0,05;0;0;897;74,9;12302;5237;38;0;0;38;7;1095;23;50;46;8;0;0;201920#
Mihailo Ristic;SRB;DF,MF;Montpellier;23;1995;$ 2.000.000,00;180;Midfielder - Left Midfield;left;Ligue 1;18;8;811;0;2;0;0;0;0,22;0,22;0;0,22;8;1;0;12,5;0,89;0,11;0;0;375;74,9;5404;1958;15;3;0;12;2;468;6;12;50;8;0;0;201920#
Junior Sambia;FRA;DF,MF;Montpellier;22;1996;$ 2.000.000,00;185;Midfielder - Defensive Midfield;right;Ligue 1;17;5;587;1;1;0;0;0,15;0,15;0,31;0,15;0,31;13;5;2;38,5;1,99;0,77;0,08;0,2;250;76,4;3507;1566;8;1;0;7;4;344;8;16;50;8;0;0;201920#
TÈji Savanier;FRA;MF;Montpellier;27;1991;$ 9.000.000,00;171;Midfielder - Central Midfield;right;Ligue 1;19;18;1524;6;2;2;2;0,35;0,12;0,47;0,24;0,35;29;7;7;24,1;1,71;0,41;0,14;0,57;917;74,8;15466;4705;16;0;0;16;26;1161;28;52;53,8;8;0;0;201920#
